X1	A_1_1	A_1_10	A_1_11	A_1_12	A_1_13	A_1_14	A_1_15	A_1_16	A_1_17	A_1_18	A_1_19	A_1_2	A_1_20	A_1_21	A_1_22	A_1_23	A_1_24	A_1_25	A_1_26	A_1_27	A_1_28	A_1_29	A_1_3	A_1_30	A_1_31	A_1_32	A_1_33	A_1_34	A_1_35	A_1_36	A_1_37	A_1_38	A_1_39	A_1_4	A_1_40	A_1_41	A_1_42	A_1_43	A_1_44	A_1_45	A_1_46	A_1_47	A_1_48	A_1_49	A_1_5	A_1_6	A_1_7	A_1_8	A_1_9
sp|A0A0B4J2F0|PIOS1_HUMAN	52102.095	125050.9	127950.67	53948.974	107912.76	77528.14	108104.09	52705	131094.03	111673.92	23909.995	44425.098	35395.981	19954.954	78414.95	52341.95	54708.03	116855.89	82719.1	160444.27	63658.08	93193.02	62139.94	228753.9	441517.49	109222.1	84577.89	252492.13	416634.01	40899.061	80713.99	61618.99	74648.01	49757.981	90395.9	65235.046	54903.02	64876.907	84974.09	63600.953	94610.98	128579.17	148041.14	98653.94	114634.03	80361.08	65810.94	42605.006	99264.02
sp|A0A0U1RRE5|NBDY_HUMAN	360139.22	753984.2	447030.49	731422.23	684069.27	648198.63	438458.68	660127.24	687005.12	727560.7	471053.99	229613.942	287915.1	381103.09	177628.96	305856.57	252826.23	825257.92	867045.8	786750.6	196027.44	677105.6	786485.1	227133.24	873536	387875.35	678207.6	473262.2	590923.9	154202.502	294530.28	722931.9	785166.2	703263.53	284436.25	559895.53	258065.87	677109.6	539836.57	305968.06	697089	579907.9	759759.9	686380.4	196684.86	589261.75	661849.8	692631.3	360189.13
sp|A0A0U1RRL7|MMPOS_HUMAN	NA	63778.98	14527	19672.96	14687.05	14174.01	15628.99	13392.99	39137.96	59434.85	19505.06	NA	8106	21611	3029.996	5684.996	4470.989	40240.04	107704.13	86608.05	5359.981	45585.03	50322	3943.995	59002.01	33510.93	117170.07	21545.84	67325.07	NA	9488.04	97857.23	35023.03	29919.08	11527	22612.02	8788.95	42273.03	20015.99	6454.002	112448.94	32630.03	41294.07	39025	22286.996	55373	46616	49873.99	8911.02
sp|A0AV96|RBM47_HUMAN	50372.995	NA	NA	15318.07	NA	30909.95	NA	NA	NA	NA	49715.97	8711.02	18022.99	NA	70851	12087.94	18780.01	42995.98	93751.05	56915.018	39083.02	NA	NA	35481.14	NA	122437.09	133947.195	NA	NA	42005.06	34994.076	70188.01	50687.013	NA	81666.973	NA	NA	76779.99	36095.993	28616.05	59622.03	NA	73474.89	77743.83	NA	NA	64175.04	NA	37837.99
sp|A0AVT1|UBA6_HUMAN	151737.19	190831.27	118342.04	181234.06	124849.95	112345.86	134640.9	136432.95	125748.67	162848.23	83069.83	29794.873	54547.99	75041.08	41025.07	47228.01	55186	221333.38	232146.95	218154.97	42443.1	209003.9	157130.88	54760.093	273613.19	131278.1	155460.13	115415.96	168951.33	59018.03	88473.19	261461.18	201804.76	190116.9	64462.997	230279.57	76886.92	193608.2	139555.93	93573.8	224532.94	143076.29	190958.54	216224.26	41043.95	175683.83	150981.22	166945.84	62551.901
sp|A0FGR8|ESYT2_HUMAN	2242.002	16341.994	4951.998	3947.9876	1292.9814	12631.937	7498.981	3750.9887	1930.02	5398.995	5406.02366	NA	NA	5774.997	662.9894	2237.012	3689.0148	3505	3516.983	8231.026	4379.9993	9082.975	9083.973	1712.022	15031.016	6448.02	9010.036	7097.034	3477.039	6832.9749	NA	7938.019	11787.979	7205.003	3827.999	4628.024	2070.001	9688.036	5348.0138	5457.0237	7588.044	2648.999	6266.983	4987.02	3203.991	4990.977	6656.0106	7798.976	3961.041
sp|A0JNW5|UH1BL_HUMAN	62940	74193.9	82751.954	63147.07	74280.04	47166.01	43662.06	88709.9	116924.97	64814.98	33208.04	70454.055	38233.035	60769.88	17108.974	36216.972	27840.967	96611	75720.02	105873.73	47448.984	94207.86	113380.02	32109.015	151251.08	32529.044	72113.025	89680.95	143361.22	5349.0182	104927.77	123850.19	72373.12	103291.12	98163.74	68899.11	60400.021	80498.05	55841.08	61538.975	74714.07	64775.93	147385.17	69081.04	37833.955	97063.89	64729.01	84851.93	94486.92
sp|A0MZ66|SHOT1_HUMAN	30287.111	35938.881	29910.989	39070.078	40508.971	31252.072	30421.003	26923.934	24013.971	35524.034	25854.96	16082.988	12363.003	22410.001	11284.005	7874.016	14517.022	53264.138	51115.027	44560.868	20418.992	38367.941	63004.87	12984.041	55823.976	48773.16	58525.013	17063.001	40549.05	21833.984	5626	50140.099	46606.94	43110.95	26236.96	35949.062	24014.012	47079.954	29348.008	26461.082	49084.08	40331.956	40046.08	44476.898	20025.99	38584.098	29376.022	40964.035	34312.062
sp|A1KXE4|F168B_HUMAN	NA	18137.985	5941	7242.036	20157.064	14595.952	8486.994	1582.9872	9906.013	8050.977	9459	NA	NA	12954.002	NA	1574.0063	2385.9886	22687.0282	5932.978	10869.014	2740.999	18836.002	25341.011	16160.973	25169.072	11609	4492.9943	NA	1847.989	6161.97	NA	17416.037	24981.0272	16271.0413	1784.991	18493.988	4020.037	20736.018	9035.993	9353.9897	24389.025	12742.974	15257.996	3400.034	4345.9779	1232.998	1398.996	1829.005	5266.983
sp|A1L0T0|ILVBL_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	8323.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4248.984	NA	2362.998	NA	5285.983	NA	NA	NA	NA	NA	3378.008	NA	NA	5819.055	NA	NA	20912.03	NA	10904.025	NA	NA	15395.999
sp|A1L188|NDUF8_HUMAN	NA	16273	31267.112	8206.02	29572.96	24363.03	NA	NA	11967.034	15789	NA	NA	10636.001	12094.964	9429.014	9169.022	NA	17159.962	14727	16054.07	11423.03	26583.003	35142.97	11861.959	10759.005	20623.95	27849.009	9502.018	19590.04	21986.072	13124.047	21306.97	16887.04	10114.01	14438.04	24938.989	17889.972	17897.02	6857.976	NA	16825.07	25387.985	16646	14282.054	17098.966	14332.01	14531	14903.033	21197.053
sp|A1L390|PKHG3_HUMAN	62921.13	73456.069	45328.94	52107.973	49714.976	46563.87	38252.954	37767.032	52379.061	65672.878	21550.01	19052.084	20566.973	33674.958	20889.022	17376.956	27056.001	71078	81017.01	72819.932	35152.037	72926	92062.92	25321.002	93124.82	85046	93396.07	45996.888	65657.88	24295.032	27033.014	67994.97	60616.98	64855.77	42973.09	55155.96	40810.064	59852.98	41819.969	36858.971	62825.03	65009	74340.17	82213.86	43744.043	55501.08	53923.87	61617.04	30088.012
sp|A2RRP1|NBAS_HUMAN	NA	NA	29693.065	36976.92	48281.04	49577.96	18906.02	18414.02	20700.069	24713.971	33489.027	NA	5667.016	13336.9952	918.9938	9840.0332	11809.012	3835.052	38786.8141	7117.999	2821.006	16990.974	45240.0139	2913.98	NA	NA	24916.024	NA	5366.016	16935.014	8024.024	36321.049	38536.947	34890.9454	NA	37046.975	5161.009	28487.998	NA	9873.034	18423.03	4867.018	6236.982	NA	1699.005	11272.04	16156.95	39058.019	NA
sp|A2RTX5|SYTC2_HUMAN	221605.87	535067.07	311930.01	304193.56	312140.9	278613.11	285657.02	281346.49	294355.84	429051.34	440235.43	375204.21	230385.34	437798.23	172293.112	301129.98	368809.75	503394.82	448047.03	455088.68	273331.38	372747.86	512543.23	159933.042	516190.18	315653.33	469225.86	377851.83	380030.9	298638.63	333558.12	503435.89	463040.03	368672.02	277792.5	377288.87	260664.46	476248.85	297928.43	345677.87	338134.98	282380.01	399946.62	352497.75	241861.01	386509.61	437466.18	503914.06	329020.4
sp|A2RU30|TESP1_HUMAN	NA	NA	NA	3461.008	3083.023	NA	3953.978	NA	2762.017	1936.999	NA	NA	1121.995	2350.004	NA	NA	2552.005	NA	NA	NA	2481.004	2643.989	NA	4007.042	5003.998	5142.001	5425.971	NA	4490.991	NA	3118.01	NA	1226.011	NA	NA	3178	NA	4699.004	2775.011	3165.009	NA	2590.007	3896.988	4131.013	3041.979	2158.017	3801.005	4020.018	NA
sp|A2RUC4|TYW5_HUMAN	NA	NA	NA	NA	NA	NA	124603	NA	NA	NA	NA	NA	40208.97	175158.6	83998.92	44890	NA	148834.8	NA	NA	NA	NA	NA	NA	321451.7	NA	171957.8	192968.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213602.9	NA	NA	125067.6	NA	318121.3	208478
sp|A3KMH1|VWA8_HUMAN	37702.967	37963.003	21051.04	27382.941	50997.966	33552.956	9131.0219	7189.008	30113.039	21482.929	19564.006	5194.9919	8729.001	16529.995	9917.98	5015.9977	19112.017	73197.08	65531.01	65487.07	24061.973	64781.99	59551.1	8580.003	81201.038	26833.04	76305.94	25345.932	39829.918	12129.984	33481.965	29506.083	32356.009	41733.943	45790.97	44794.1	20669.0474	27280.936	24927.0273	22200.935	52886.9242	70409.12	31637.002	11271.9633	17424.0033	31768.029	23626.03	45935.093	12709.98
sp|A3KN83|SBNO1_HUMAN	23396.007	81519.03	63869.054	14315.985	22135.005	62706.101	14316.121	25220.997	16082.972	27083.978	26006.026	11141.977	16025.032	30832.034	1466.9963	13449.9825	15305.033	52744.144	84389.93	82354.915	40712.987	109914.95	107076.14	9637.0556	64725.91	9465.972	24009.924	30507.04	24382.986	14689.994	14691.031	35798.952	75754.059	103111.25	36624.928	54848.94	18568.026	78532.05	65669.862	51077.092	76654.96	88759.226	92247.991	90569.07	15322.973	42462.055	54290.127	41152.938	56000.133
sp|A4D1E9|GTPBA_HUMAN	3842.986	9214.021	6316.005	20583.065	3406.003	NA	10612.02	21586.979	14817.982	19653.069	2426.011	14134.9894	6319.9649	3729.959	6404.028	6115.978	NA	9813.05	11984.009	13913.97	3074.997	12613.951	13290.003	4524.996	15273.984	7409.998	8999.945	22232.016	19038.05	2464.998	3409.004	28850.07	9841.971	27368.971	5738.983	17702.988	3436.977	12089.078	6108.996	4212.0208	9909.975	7695.9814	8151.988	7579.986	12106.99	10882.963	9222.023	7547	15420.962
sp|A4D1P6|WDR91_HUMAN	15476.994	36679.02	41394.006	7563.981	22600.024	33492.046	2040.999	4237.9995	2798.99	15226.978	NA	16145.03	11689.998	NA	26482.046	15911.035	23609.944	21358.992	10199.976	31398.996	10977.001	28694.937	NA	53308.813	44902.965	4845.045	2400	64736.96	49693	15110.037	34192.959	NA	6929.967	7733.018	29621.946	32655.991	12812.955	30899.996	34018.975	39902.096	21872.954	20937.975	57897	19913.973	19208.114	31777.88	6675.998	1991.026	27836.954
sp|A4D1U4|LCHN_HUMAN	125412.91	179972.72	91288.013	88696.05	97666.93	127585.95	86383.97	67847.9	80147.92	149697.96	85007.03	52610.97	28882.014	72561.957	34690.021	34779.997	45881.998	160646.9	207133.71	174747.87	89210.12	169864.04	190198.99	61431.053	280318.89	160237.03	222623.19	98917.97	148914.98	43654.072	75711.96	212979.19	161507.91	134261.19	108146.91	117772.21	63842.96	158220.89	100804.99	81717.895	175248.89	144930.79	147300.93	153804.89	66395.89	126998.99	115301.87	139994.783	78867.038
sp|A5A3E0|POTEF_HUMAN	NA	13654.978	5325.018	11036.9524	7199.038	9370.034	2380.992	7541.987	2493.0075	6491.978	6158.0063	2812.024	1861.0065	6126.9947	NA	1464.997	4040.009	10883.003	12372.02	14047.078	1867.0017	8296.014	3499.023	6374.001	11003.001	2015.981	2321.994	3673.044	6336.008	NA	2363.996	7192.008	6049.95	7979.02	6461.999	8574.004	NA	8633.004	8047.029	2184.014	5088.982	5995.985	3840.984	6223.0227	1894.002	1325.009	7699.002	3367.994	NA
sp|A5D8V6|VP37C_HUMAN	23894.937	58213.03	20347.03	21530.051	29101.075	44663.942	23690.005	23257.032	26250.061	27318.984	14943.014	19936.002	5998.971	20969.989	12239.978	3532.9767	13521.021	40982.08	45471.885	34618.04	12351.028	32354.096	53743.93	15549.981	49896	58079.05	45333.94	25356.003	33266.989	10945.007	11260.993	44336.02	27160.004	30662.099	24953.105	23979.961	18555.982	30248.005	24697.998	17236.01	37068.93	26001.009	49287.96	40331.962	7118.039	33779.97	30786	32495.037	16300.026
sp|A5PLN9|TPC13_HUMAN	174057.94	194087.89	315692.8	282865.27	238462.43	191200.39	264723.38	193242.01	207950.23	319006.69	225983.47	113833.99	114271.83	186500.94	162192.16	130318.02	128522.929	330516.06	366564.06	369623.05	147060.93	287739.83	386107.78	155795.34	304892.73	455856.08	276858.17	277944.42	269168.85	133706.07	208047.65	601520.79	299248.33	219363.11	305953.99	301100.95	144195.06	387436.66	260381.9	273367.67	270946.54	365426.63	250783.95	330315.36	141822.07	340439.13	246258.83	263147.81	205693.18
sp|A5YKK6|CNOT1_HUMAN	12333.004	17792	7437.984	7892.97	7127.993	6918.979	13877.922	7889.0108	9052.001	8624.987	9182.015	4274.997	1645.98	3232.013	2566.985	1588.987	3111.006	19371.981	29397.075	27937.034	7001.989	23798.043	39315.969	2102.004	41404.06	11015.98	29211.022	24183.977	12433	802.9996	8295.976	35632.971	29682.962	25173.015	14959.984	24429.993	7668.021	29865.949	14591.945	9058.977	23723.939	18088.995	38404.95	34847.057	5113.984	25556.968	17159.04	20009.0554	14207.048
sp|A6NC98|CC88B_HUMAN	NA	24455.019	5745.024	8424.953	4441.03	5505.999	8961.009	7853.986	7104.972	5177.034	4154.986	2904.002	2487.001	4867.032	5669.973	NA	4680.992	14815.006	15430.035	11187.958	2530.001	12612.027	13131.99	6782.031	23947.061	10703.99	6492.962	13663.968	11796.032	5931	2350.003	10362.005	8928.024	13348.032	14684.993	10936.037	4431.997	13417.975	6294.003	4398.98	14218.038	11992.009	20463.99	10804.014	3116.0044	9258.008	9465.004	7802.962	7342.998
sp|A6NDG6|PGP_HUMAN	10950.93	67396.794	54926.937	95562.946	90873.946	95163	120612.9	93659.8	91309.07	119665.812	36708.951	47715.002	17220.91	37247.0239	26672.94	18685.96	28990.035	66094.88	146425.731	126792.18	45244.9864	76843.95	76408.82	45566.94	95619.03	56402.79	137643.964	97796.07	100217.11	57788.141	40421.984	158619.01	76782.01	66491.98	51676.127	86788.06	38091.008	64638.945	53998.082	44412.109	131222.99	63663.983	70723.07	59350.041	36753.952	111101.05	62502.091	59784.03	46811.108
sp|A6NDU8|CE051_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	3562.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5768.962	NA	4404.996	6875.994	NA	7452.99	NA	NA	3645.001	5284.997	NA	NA	4131.028	NA	NA	2687.977	NA	NA	NA	NA	NA	3267.004	NA	NA	NA	NA	NA	NA	NA	NA
sp|A6NED2|RCCD1_HUMAN	83626.05	110722.32	138413.33	87282.91	104228.92	112075.13	98992.9	66261.01	114785.1	111307.93	55983.01	65250.91	52508.917	66529.07	68765.09	51068	54338.95	120431.72	125570.85	117624.1	53203.038	108893.02	152249.83	83668.17	164374.57	117251.14	158755.57	114149.38	127324.98	44291.136	93276.03	139130.22	113575.82	123385.94	98986.83	85866.14	75173.89	102269.82	101017.05	96167.93	119878	88619.9	138091.12	220571.25	60123.995	86044.91	91485.07	78837.93	93797.96
sp|A6NFI3|ZN316_HUMAN	19726.046	22488.04	29840.01	27296.04	28119.01	43258.03	31308.994	10518.03	18853.071	30644.98	24291.05	6881.01	11167.997	23107.99	11742.996	13739.973	17332.96	41426.057	46465.972	34100.04	22860.954	29370.97	28011.06	20216.057	56167.015	54317.99	34990.1	11130.98	34875.02	20204.06	20698.05	52058.02	33961.03	34713.005	22441.96	38657.056	20073.01	27859.07	23645.023	19821.99	34389.95	31765.926	33435.03	34378.96	18111.978	17544.005	25933.988	36366.04	32470.06
sp|A6NHL2|TBAL3_HUMAN	NA	15472.97	2695.996	6476.932	10111.013	6414.021	10036.988	9303.021	9312.985	9961.993	837.996	2663.991	NA	4416.984	NA	3447.0014	NA	20191.996	20275.064	18004.988	3426.983	15763.99	19972.051	2086.0271	29123.929	6653.967	14874.054	10338.986	16523.948	NA	3987.993	22415.985	18949.986	9471.042	8487.011	15526.005	8149.995	17624.034	13268.956	887.0041	11053.026	19628.039	15487.011	17249.989	NA	10150.96	12673.968	17124.955	NA
sp|A6NHQ2|FBLL1_HUMAN	243692.121	304568.8	91650.98	231872.82	60663.941	350358.17	134448.93	100113.105	77123.068	121845.869	94391.98	115893.16	37792.969	67552.962	118228.01	334665.43	113065.05	300712.01	332366.57	89446.996	115243.13	160275.04	14760.989	81191.92	86804.09	137940.14	488979.94	274347.05	60275.929	113762.071	39209.021	343806.57	423142.77	70320.851	121493.3	325096.01	153162.2	185153.99	267748.25	38555.9661	107396.99	454292.1	126335.81	469077.67	118517.94	203949.29	169404.93	263827.28	227829.83
sp|A6NHR9|SMHD1_HUMAN	22726.987	25961.98	24003.99	30421.048	37281.02	28125.991	22493.04	32359.988	26741.037	28839.99	10952.978	15695.97	5227.004	17050.02	6513.014	7540	15369.974	46002.04	42887.02	39384	17729.98	33603.045	57530.01	NA	56020.95	26311.048	6910.06	28012.976	33969.047	9438.04	18011.98	42728.92	40011.03	36324.107	25671.95	31394.03	16535.01	35324.02	30723.942	18869.03	31027.01	40197.95	40989.98	38933.91	17882.95	33205.019	17410.96	44228.92	16943.98
sp|A6NI72|NCF1B_HUMAN	18715.013	45590.957	25691.9165	22421.9838	25470.952	21482.921	24633.983	24005.052	29412.92	28567.0459	25483.986	17107.066	14865.081	23171.07	17183.99	13806.96	17294.94	53837.0053	55078.99	51446.997	26071.0597	42582.975	47973.058	24617.9983	56015.91	27048.948	28192.125	24689.0193	6382.001	12005.0296	18726.0365	34202.028	40139.846	37966.0412	44168.965	30159.0193	16195.031	14167.992	24327.971	19698.099	28285.052	29059.058	47791.069	45573.103	22276.93	49654.014	17189.891	42819.948	25923.947
sp|A6NI79|CCD69_HUMAN	11455.937	18598.011	21549.045	13731.957	16681.04	17746.036	19474.019	17461.044	16095.007	15754.958	12023.977	13667.974	5568.9843	9466.023	7291.042	9006.022	15017.015	33849.058	16718.049	26009.02	9726.0211	27081.011	18271.986	5456.997	25951.035	17272.989	21252.981	11852.965	23366.984	8847.995	17117.013	27078.014	26254.029	20649.042	13353.038	23287.077	12488.001	20175.022	12574.041	16749.991	20629.038	21080.956	26015.93	25995.007	2396.989	17310.984	3360.01	19474.997	14863.961
sp|A6NIH7|U119B_HUMAN	NA	738815.01	33087	NA	NA	59325.01	55185.97	492586	NA	162776.975	47970.07	222153.376	NA	93062.89	NA	39220.03	10476.049	73594.09	27252	25105.04	12634.97	616883.271	29954.02	NA	32138.09	NA	9139.0307	183711.3	NA	142863.693	NA	NA	NA	700885.1	50640.018	989832.2	310210.198	NA	369496.64	307010.8	30464.044	99619.881	15249.936	NA	5529.998	81477.78	125310.199	NA	9181.016
sp|A6NJ78|MET15_HUMAN	NA	2542.004	1306.9987	1175.007	1356.981	NA	2641.003	1262.988	1481.997	1673.006	NA	1244.995	NA	NA	NA	NA	NA	2179.996	1741.001	5734.0223	1422.005	2007.014	7228.942	1642	2334.981	2910.993	2385.985	1517.009	2276.001	NA	944	6607.009	1517.9869	1266.0011	3169.992	1946.989	NA	NA	1434.9791	1027.9996	1630.981	1893.004	2054.001	2118.99	1418.99	1959.998	NA	NA	NA
sp|A8CG34|P121C_HUMAN	13419.04	91010.13	70858.02	50228.12	66902.04	55194.148	61218.087	42543.107	45735.059	58010.04	42633.07	50663.15	24137.984	31715.017	32717.077	26387.015	33978.914	92464.18	75702.13	78991.03	39400.041	70388.04	105929.09	44367.954	144618.49	62056.05	95845.01	44918.027	67666.99	24070.028	51199.75	95151.901	62754.89	52214.94	54448.008	65897.031	23948.041	68590.109	42488.015	38042.062	49885.86	47894.949	70093.92	75397.02	33464.938	50693.05	52423.962	66872.91	59687.106
sp|A8MPS7|YDJC_HUMAN	13844.968	24541.106	11469.988	13090.986	17265.976	18560.042	15464.005	8044.0116	16091.01	14746.935	11572.028	5904.982	3377.9804	9540.002	2440.988	3566.0178	5974.9907	20859.023	26615.994	18655.086	7418.99	11551.978	27673.04	5391.0071	30673.933	20947.99	23173.022	10995.023	20274.075	8637.981	7907.021	25550.067	18878.01	16419.013	11652.984	24063.937	8482.005	16825.003	12970.995	7829.007	17156.012	21099.992	18453.006	19341.958	8357.02	18078.956	12870.032	19229.012	14320.971
sp|A8MW92|P20L1_HUMAN	87266.01	86032.99	156175.31	96436.11	68871.06	92549.85	75235.02	81981.17	152930.02	133265.99	61477.05	62739.92	68880.19	47542.03	35429.0431	77751.889	54971.99	244386.81	148101.05	183382.04	63608.941	199190.98	186131.46	55654.97	178972.26	58034.022	113642.27	94908.8	134948.2	19482.072	122432.12	178605.24	229342.12	190452.03	114400.3	178274.93	127350.2	164365.98	159297.36	93910.08	173716.74	210130.91	210119.99	194926.21	56226.84	147955.11	129262.02	146581.28	94723.241
sp|A8MXV4|NUD19_HUMAN	19477.911	59733.006	35298.997	30573.081	29434.9	43063.121	16310.039	19514.957	43506.01	45761.999	18879.0348	11569.048	9134.9882	22828.987	16063.995	13720.985	17306.009	45156.01	73819.93	69093.87	7324.001	66150.789	75029.1	30437.124	64145.963	43133.877	48427.93	35669.138	58635.97	24551.022	28024.081	66871.18	55157.83	44113.11	37282.05	43089.07	4802.019	46802.955	33012.019	24643.018	55444.947	49935.942	50633.059	56037.964	22555.007	50530.04	40058.954	49753.079	25679.98
sp|A9UHW6|MI4GD_HUMAN	268750.19	519820.39	318139.76	326800.6	355603.2	340422.86	279802.08	276190.94	292106.83	326487.81	163415.13	274343.29	157907.093	180723.18	149272.12	154201.92	186668.93	342133.44	410442.07	344553.13	249420.98	371787.04	427644.17	329829.68	542451.4	412734.24	367918.45	387515.86	389921.98	208427.93	211030.99	387478.91	301800.98	271304.54	252277.63	309440.02	257522.12	261129.72	274498.92	233169.21	330233.9	230480.97	287963.77	441542.73	267406.87	360091.15	202216.02	320307.97	395094.85
sp|B0I1T2|MYO1G_HUMAN	8167.008	NA	NA	15144.001	9863.03	55159.041	NA	4339.968	4826.97	17331.078	4958.014	7071.03	3398.975	6002.026	NA	891.01	NA	61814.986	66322.871	11073.014	10938.01	65928.89	20208.931	NA	3949.003	72123.14	23033.035	44548.104	71777.981	5748.992	NA	66167.096	7793.025	10396.92	NA	8121.03	6865.968	6760.998	9969.013	9148.949	6754.006	15495.012	8844.013	15260.081	5120.988	41469.101	6257.954	6770.002	5784.991
sp|B2RTY4|MYO9A_HUMAN	15688.987	2028.008	1345.0083	30968.071	NA	4946.028	7637.0041	8882.972	15363.988	19203.9569	1619.0165	8649.9932	NA	6037.0155	NA	531.9963	3802.997	32869.967	27266.05	44448.13	2546.998	16511.995	16783.028	NA	1799.99	NA	3359.018	16423.01	39603	NA	NA	9379.038	1308.001	NA	2105.9896	18400.021	796.996	3918.007	1180.9969	983.0091	24440.9142	1223.998	14269.033	19712.044	21022.998	19692.043	10392.979	6884.004	12230.977
sp|B7ZAP0|RBG10_HUMAN	NA	11154.99	NA	NA	NA	NA	NA	NA	NA	450.0038	4856.0158	NA	NA	NA	4005.998	NA	NA	4332.028	NA	NA	NA	NA	NA	NA	29636.036	12794.03	8950.02	422.0021	NA	8094.0152	NA	NA	1504.009	4885.995	1804.0022	NA	NA	6714.955	3573	NA	NA	5119.0014	NA	NA	NA	NA	778.9913	NA	NA
sp|C9J7I0|UMAD1_HUMAN	NA	NA	4372.975	888.007	4186.0187	7254.02	NA	NA	2758.978	NA	NA	680.9998	NA	NA	2183.012	NA	NA	NA	13097.986	NA	1277.9985	NA	9349.024	1979.999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4414.024	NA	NA	NA	2143.988	NA	NA	676.9983	8854.9375	NA	NA	NA	1998	NA
sp|C9JLW8|MCRI1_HUMAN	NA	NA	NA	2144.003	NA	NA	2630	NA	1104.0073	1967	NA	NA	NA	NA	NA	NA	NA	2332.007	2322.0163	2591.004	NA	NA	4061.993	NA	NA	NA	2056.019	NA	NA	NA	NA	2456.003	1593.9947	NA	NA	NA	NA	626.9965	1073.001	NA	1258.0152	NA	NA	1485.0047	NA	1628	NA	1277.9917	NA
sp|E9PRG8|CK098_HUMAN	NA	24823.009	67114.93	NA	17234.08	130198.94	45744.126	NA	36129.08	49971.04	NA	13403.03	5939.992	NA	29070.981	16286.065	17760.95	53993.057	27297.944	48280.05	NA	29117.09	35659.03	103185.1	64613.2	NA	96755.02	69884.14	77741	11456.977	35655.095	NA	6946.03	NA	55272.08	27766.021	NA	16171.06	28642.03	29825.017	44955.08	54374.99	74144.99	64589.07	16888.96	NA	NA	11452.05	24829.044
sp|I3L1I5|YS060_HUMAN	2844.018	NA	5531.001	1842.02	NA	NA	4362.011	3737.996	5081.9983	NA	3985.998	2355.002	NA	2535.993	NA	2283.0195	6549.985	20602.044	11979.977	25727.997	5162.009	5186.003	18960.019	NA	1467.0039	NA	13768.06	3171.993	22149.997	1965	3567.991	6751.983	NA	1295.0069	NA	3448.988	11573.9	12201.985	NA	10524.981	7737.002	NA	8541.001	28025.97	5067.003	4333.971	NA	7172.985	5923.017
sp|L0R6Q1|S35U4_HUMAN	1366.992	8450.022	19774.009	25704.028	22004.939	20270.946	12824.983	9041.991	11984.005	15985.034	11008.985	14222.006	2054.991	9528.034	2309.012	5952.996	2910.004	18482.106	26268.993	17906.965	17546.054	14156.053	19897.981	19207.991	33331.964	35720.01	31314.952	3493.015	13092.0197	13175.036	12896.003	24531.114	20971	20953.973	15546.999	11418.993	12811.997	21113.987	15168.992	5199.9844	13387.9985	15936.019	22315.942	14104.037	10612.028	14054.068	15005.961	23374.04	20398.001
sp|L0R819|ASURF_HUMAN	103638.92	197243.7	56625.13	72611.98	NA	66769.9	44884.92	80207.18	NA	73960.11	99517.01	52251.99	28295.01	38532.05	NA	18856.98	29102.93	141410.23	223644.7	169307.2	34108.01	192243	NA	16518.989	178956.8	NA	53202.04	69989.08	NA	20498.98	NA	289524.5	164067	132263.2	29357.04	205242	42400	NA	64392.08	39455.98	NA	118007.31	117699.03	184252.1	34200.01	150281.7	43054.98	120003.14	24418.05
sp|L0R8F8|MIDUO_HUMAN	23348.93	44137.974	28414.986	43639.09	43423.99	34085.034	68639.2	39554.06	23485.007	53234.09	36575.05	11192.031	18218.991	28933.942	11991.032	15797.003	20504.067	67011.06	60319.07	53405.05	26771.063	40536.057	58063.05	9783.077	58558.05	64317.98	66678.93	30142.061	27904.034	31879.004	28219.008	50259.98	54394.93	52378.06	29416.008	48816.97	19745.039	32797.005	35349.07	25128.028	50567	59991.12	39616.935	56320.03	15519.047	34704.066	36958.964	46489.958	26197.948
sp|O00115|DNS2A_HUMAN	75579.02	135521.88	64859.07	19675.02	23766.01	61792	26191.044	28264.014	14922.98	22172.101	59107.95	8866.023	9262.996	9607.02	51216.96	13799.99	25173.94	109409.06	57900.99	51366.02	62493.03	90398.03	81653.19	105347.06	64601.99	36405.904	112737.31	56781.97	76656.01	26956.983	13765.019	25793.058	115072.03	20713.016	87061.04	98768.03	12637.007	95829.19	86185.21	27334.017	73892.12	79666.06	105081.02	235522.87	21750.014	66524.03	5926	90089.85	14390.993
sp|O00116|ADAS_HUMAN	65339.725	213836.46	200218.43	156501.06	192531.81	113813.97	132708.32	116895.8	158030	171424.58	91173.94	101741.08	84416.04	134226.09	129832.41	102824.76	112112.86	188709.13	162214.75	291545.68	159759.17	230658.93	178999.99	255100.06	293080.96	192917.92	325836.3	185065.14	262236.1	75991.9	129951.7	264357.73	221161.51	159588.84	331974.88	99470.99	154495.2	208376.25	190238.37	148579.22	243491.65	178277.91	271160.66	272736.14	171065.46	151545.13	124109.97	178040.09	188331.12
