X1	A_1_1	A_1_10	A_1_11	A_1_12	A_1_13	A_1_14	A_1_15	A_1_16	A_1_17	A_1_18	A_1_19	A_1_2	A_1_20	A_1_21	A_1_22	A_1_23	A_1_24	A_1_25	A_1_26	A_1_27	A_1_28	A_1_29	A_1_3	A_1_30	A_1_31	A_1_32	A_1_33	A_1_34	A_1_35	A_1_36	A_1_37	A_1_38	A_1_39	A_1_4	A_1_40	A_1_41	A_1_42	A_1_43	A_1_44	A_1_45	A_1_46	A_1_47	A_1_48	A_1_49	A_1_5	A_1_6	A_1_7	A_1_8	A_1_9
sp|Q86UT6|NLRX1_HUMAN	15656.003	48922.93	50113.86	47167.842	52990.93	49810.92	45743.932	31537.992	38789.049	50784.088	33280.035	24507.997	10199.031	22279.986	20173.994	12994.006	11029.035	51331.952	74470.124	56103.986	34425.974	55799.97	81254.79	22924.049	72530.17	69526.96	63860	33235.028	59245.22	46790.027	35904.161	56800.94	52369.958	48842.988	32602.999	46211.023	27227.033	65553.12	39237.082	26610.998	59059.01	47325.935	48507.08	60172.897	30640.02	46394.027	48339.021	52613.928	25464.04
sp|Q86UT8|CCD84_HUMAN	3175960.9	4644830.8	2190157.4	2625204.3	2753338.4	3264718.4	4858849.1	2066993.8	2711747.2	3374908.9	2551556	1275309.3	1179643.8	2130476	1137344.5	1026622.4	1352950	4215568.8	4299177.9	3983760	2058287.8	3542710.2	5012573.1	1589047.9	4614549.9	4110433.2	4755968.2	2428856.8	2927124	2820572.5	1827246.7	4334008	3244636	3435877.9	2617248.1	2599580.9	2077727.2	3396572.9	2059196.5	1912513.5	3682157.9	3060192.8	3133635	3577455.9	1475781.8	2878979.8	3027037.2	3536911.7	2417023.7
sp|Q86UU0|BCL9L_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1976.9874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19335.007	NA	3194.005	10307.018	NA	NA	NA	NA	3677.984
sp|Q86UV5|UBP48_HUMAN	37907.985	102302.055	112218.97	85118.99	98316.87	100390.97	102992.94	73775.95	106804.98	114329.97	52374.822	110230.13	63139	58817.96	39540.987	62239.94	46976.939	132787.93	94028.11	117538.98	83400.05	119933.72	72463.91	110668.02	168437.59	72003.09	81151.02	116432.89	103541.15	25995.102	73231.06	118934.3	128890.04	81890.13	98392.19	61881.81	114238.99	84592.98	84596.91	47077.07	100839.7	107512.85	142016.78	154941.97	75514.91	94500.74	88840.96	94905.83	102272.23
sp|Q86UW6|N4BP2_HUMAN	11362.9758	10800	33272.99	26341.989	35805.961	34190.017	27783.992	23240.998	23320.973	20135.969	17060.98	25272.053	9360.01	13490.024	17389.01	5707.983	11476.992	53079.02	51885.94	50038.932	24954.048	43486.98	56977.91	31642.962	48080.92	48178.98	50160	31111.984	35199.975	15096.013	13813.037	52313.076	39413.938	35425.08	32421	31947.164	19279.998	49442.078	37787.074	21843.01	30599.899	31605.011	36313.94	44219.992	19090.983	35458.986	30836.035	44053.02	13280.987
sp|Q86UW9|DTX2_HUMAN	NA	NA	NA	1109.0007	NA	2475.993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2117.9975	NA	NA	NA	NA	NA	NA	1517.995	1321.995	NA	NA	844.0014	NA	NA	NA	1206.9982	NA	NA	NA	NA	988.9947	NA	NA	878.0013	NA	1173.02	2253.9913	NA	NA	941.9927	855.9895	NA
sp|Q86UX7|URP2_HUMAN	NA	NA	NA	NA	NA	6909.967	NA	2677.005	NA	13748.06	NA	NA	NA	NA	NA	NA	NA	NA	3903.015	29338.05	NA	NA	NA	NA	NA	NA	7058.956	4730.018	4461.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42294.12	NA	NA	NA	NA	NA	NA	NA	NA
sp|Q86UY6|NAA40_HUMAN	86506.94	196636.17	109968.98	161182.97	132033.99	117189.12	138976.08	159202.98	113895.09	186385.18	127650.05	56877.915	82967.97	128869.05	59405.966	56405.97	74869.91	155136.09	198853.02	183007	68959.13	185968.06	191558.99	51119.012	195108.66	192844.22	187253.06	106206.86	137523.08	76745.984	78355.13	116986.82	155822.07	182777.17	81525.02	133994.99	68083.042	192958.85	100948	106418.99	189656.15	106542.98	159177.22	138380.02	66770.15	159960.96	132000.13	135799.07	87293.99
sp|Q86UY8|NT5D3_HUMAN	16364.974	43556.061	9783.065	6398.01	3027.014	15822.9962	807.0027	NA	10520.005	15118.01	7125.01	NA	7060.9912	8531.988	6817.001	NA	7012.976	28555.882	23269.9671	36271.999	16486.02	32186.932	18562.053	NA	26223.993	19116.97	19644.97	24347.127	31443.017	8180.019	16557.013	33506.902	29011.009	19533.001	20873.0541	19944.965	12579.009	26056.078	23233.015	NA	34492.059	28378.933	36625.047	34412.1	14949.986	19421.007	24510.0262	23890.022	NA
sp|Q86V21|AACS_HUMAN	70808.93	211788.14	125739.1	93141.02	109434.08	99432.98	61206.91	105454.02	71136.06	102465.19	91479.05	49074.89	12031.998	59408.05	31871.992	23867.974	49321.954	136949.71	159872.01	132282.17	136529.06	121303.94	214113.74	84041.08	165852.85	144073.22	228688.4	59210.04	113757.99	92057.87	61961.02	129763.02	145358.06	120549.83	99748.18	99567.79	83046.98	138477.75	110225.08	85191	119186.17	88482.96	105863.91	106902.22	76802.97	121327.96	100641.84	143157.2	69042
